timestamp,availablememory,batterylevel,cpuload,device_id,episodeid,exp_name,network_profile,roundtriptime,sensor_data,totalmemory,type
1557139131279,,,,Device4,EP001-1557139080466,Shams_run1,3G-Good,799,,,ESP32
1557137166149,,,,Device4,EP001-1557137055754,Shams_run1,3G-Good,806,,,ESP32
1557141531262,,,,Device4,EP001-1557141442385,Shams_run2,Edge-Lossy,1429,,,ESP32
1557141768938,,,,Device4,EP001-1557141716413,Shams_run2,Edge-Good,1199,,,ESP32
1557139114784,,,,Device4,EP001-1557139080466,Shams_run1,3G-Good,778,,,ESP32
1557141521891,,,,Device4,EP001-1557141442385,Shams_run2,Edge-Lossy,1619,,,ESP32
1557137178436,,,,Device4,EP001-1557137055754,Shams_run1,3G-Good,817,,,ESP32
1557137137783,,,,Device4,EP001-1557137055754,Shams_run1,3G-Good,795,,,ESP32
1557137147348,,,,Device4,EP001-1557137055754,Shams_run1,3G-Good,817,,,ESP32
1557135477461,,,,Device4,EP001-1557135448085,Shams_run1,2G-DevelopingRural,1335,,,ESP32
1557139469218,,,,Device4,EP001-1557139431676,Shams_run1,3G-Good,800,,,ESP32
1557139564575,,,,Device4,EP001-1557139540198,Shams_run1,2G-DevelopingRural,2269,,,ESP32
1557137084638,,,,Device4,EP001-1557137055754,Shams_run1,3G-Good,1026,,,ESP32
1557137111159,,,,Device4,EP001-1557137055754,Shams_run1,3G-Good,696,,,ESP32
1557141336396,,,,Device4,EP001-1557141184603,Shams_run2,3G-Good,610,,,ESP32
1557136730433,,,,Device4,EP001-1557136686103,Shams_run1,2G-DevelopingRural,234,,,ESP32
1557139617187,,,,Device4,EP001-1557139540198,Shams_run1,2G-DevelopingRural,1598,,,ESP32
1557137121522,,,,Device4,EP001-1557137055754,Shams_run1,3G-Good,916,,,ESP32
1557137159397,,,,Device4,EP001-1557137055754,Shams_run1,3G-Good,806,,,ESP32
1557141491942,,,,Device4,EP001-1557141442385,Shams_run2,Edge-Lossy,1492,,,ESP32
1557137164413,,,,Device4,EP001-1557137055754,Shams_run1,3G-Good,465,,,ESP32
1557141830719,,,,Device4,EP001-1557141716413,Shams_run2,Edge-Good,988,,,ESP32
1557139195404,,,,Device4,EP001-1557139080466,Shams_run1,3G-Good,883,,,ESP32
1557141283559,,,,Device4,EP001-1557141184603,Shams_run2,3G-Good,484,,,ESP32
1557135655843,,,,Device4,EP001-1557135590926,Shams_run1,2G-DevelopingRural,6,,,ESP32
1557142014898,,,,Device4,EP001-1557141973418,Shams_run2,2G-DevelopingUrban,1702,,,ESP32
1557141848641,,,,Device4,EP001-1557141716413,Shams_run2,Edge-Good,1198,,,ESP32
1557136770474,,,,Device4,EP001-1557136686103,Shams_run1,2G-DevelopingRural,293,,,ESP32
1557141502811,,,,Device4,EP001-1557141442385,Shams_run2,Edge-Lossy,1304,,,ESP32
1557136789850,,,,Device4,EP001-1557136686103,Shams_run1,2G-DevelopingRural,15,,,ESP32
1557139608177,,,,Device4,EP001-1557139540198,Shams_run1,2G-DevelopingRural,2123,,,ESP32
1557137140241,,,,Device4,EP001-1557137055754,Shams_run1,3G-Good,795,,,ESP32
1557137200861,,,,Device4,EP001-1557137055754,Shams_run1,3G-Good,619,,,ESP32
1557139124516,,,,Device4,EP001-1557139080466,Shams_run1,3G-Good,800,,,ESP32
1557136789111,,,,Device4,EP001-1557136686103,Shams_run1,2G-DevelopingRural,436,,,ESP32
1557141237477,,,,Device4,EP001-1557141184603,Shams_run2,3G-Good,589,,,ESP32
1557139129143,,,,Device4,EP001-1557139080466,Shams_run1,3G-Good,2227,,,ESP32
1557141560239,,,,Device4,EP001-1557141442385,Shams_run2,Edge-Lossy,1408,,,ESP32
1557135505110,,,,Device4,EP001-1557135448085,Shams_run1,2G-DevelopingRural,873,,,ESP32
1557139476592,,,,Device4,EP001-1557139431676,Shams_run1,3G-Good,883,,,ESP32
1557139228290,,,,Device4,EP001-1557139080466,Shams_run1,3G-Good,988,,,ESP32
1557141543344,,,,Device4,EP001-1557141442385,Shams_run2,Edge-Lossy,1576,,,ESP32
1557139596266,,,,Device4,EP001-1557139540198,Shams_run1,2G-DevelopingRural,1745,,,ESP32
1557139170628,,,,Device4,EP001-1557139080466,Shams_run1,3G-Good,589,,,ESP32
1557141329126,,,,Device4,EP001-1557141184603,Shams_run2,3G-Good,673,,,ESP32
1557135701310,,,,Device4,EP001-1557135590926,Shams_run1,2G-DevelopingRural,9,,,ESP32
1557137188369,,,,Device4,EP001-1557137055754,Shams_run1,3G-Good,1775,,,ESP32
1557141471667,,,,Device4,EP001-1557141442385,Shams_run2,Edge-Lossy,1220,,,ESP32
1557141221605,,,,Device4,EP001-1557141184603,Shams_run2,3G-Good,799,,,ESP32
1557141240778,,,,Device4,EP001-1557141184603,Shams_run2,3G-Good,819,,,ESP32
1557139464406,,,,Device4,EP001-1557139431676,Shams_run1,3G-Good,737,,,ESP32
1557137112319,,,,Device4,EP001-1557137055754,Shams_run1,3G-Good,399,,,ESP32
1557137134224,,,,Device4,EP001-1557137055754,Shams_run1,3G-Good,806,,,ESP32
1557140765488,,,,Device4,EP001-1557140681172,Shams_run1,2G-DevelopingRural,1829,,,ESP32
1557141795462,,,,Device4,EP001-1557141716413,Shams_run2,Edge-Good,1240,,,ESP32
1557137170680,,,,Device4,EP001-1557137055754,Shams_run1,3G-Good,1422,,,ESP32
1557139462562,,,,Device4,EP001-1557139431676,Shams_run1,3G-Good,779,,,ESP32
1557139158007,,,,Device4,EP001-1557139080466,Shams_run1,3G-Good,736,,,ESP32
1557136753881,,,,Device4,EP001-1557136686103,Shams_run1,2G-DevelopingRural,258,,,ESP32
1557141297586,,,,Device4,EP001-1557141184603,Shams_run2,3G-Good,611,,,ESP32
1557137133815,,,,Device4,EP001-1557137055754,Shams_run1,3G-Good,2654,,,ESP32
1557137166981,,,,Device4,EP001-1557137055754,Shams_run1,3G-Good,806,,,ESP32
1557136773850,,,,Device4,EP001-1557136686103,Shams_run1,2G-DevelopingRural,380,,,ESP32
1557137100819,,,,Device4,EP001-1557137055754,Shams_run1,3G-Good,476,,,ESP32
1557141051108,,,,Device4,EP001-1557140935126,Shams_run2,2G-DevelopingRural,2017,,,ESP32
1557137173009,,,,Device4,EP001-1557137055754,Shams_run1,3G-Good,399,,,ESP32
1557139150360,,,,Device4,EP001-1557139080466,Shams_run1,3G-Good,778,,,ESP32
1557141330559,,,,Device4,EP001-1557141184603,Shams_run2,3G-Good,799,,,ESP32
1557141236965,,,,Device4,EP001-1557141184603,Shams_run2,3G-Good,778,,,ESP32
1557142052987,,,,Device4,EP001-1557141973418,Shams_run2,2G-DevelopingUrban,2269,,,ESP32
1557141557271,,,,Device4,EP001-1557141442385,Shams_run2,Edge-Lossy,1535,,,ESP32
1557141572835,,,,Device4,EP001-1557141442385,Shams_run2,Edge-Lossy,1513,,,ESP32
1557141049060,,,,Device4,EP001-1557140935126,Shams_run2,2G-DevelopingRural,1807,,,ESP32
1557141282431,,,,Device4,EP001-1557141184603,Shams_run2,3G-Good,799,,,ESP32
1557136786856,,,,Device4,EP001-1557136686103,Shams_run1,2G-DevelopingRural,289,,,ESP32
1557140830925,,,,Device4,EP001-1557140681172,Shams_run1,2G-DevelopingRural,2017,,,ESP32
1557135666585,,,,Device4,EP001-1557135590926,Shams_run1,2G-DevelopingRural,6,,,ESP32
1557137080439,,,,Device4,EP001-1557137055754,Shams_run1,3G-Good,806,,,ESP32
1557139646286,,,,Device4,EP001-1557139540198,Shams_run1,2G-DevelopingRural,2144,,,ESP32
1557142041948,,,,Device4,EP001-1557141973418,Shams_run2,2G-DevelopingUrban,1617,,,ESP32
1557139125438,,,,Device4,EP001-1557139080466,Shams_run1,3G-Good,799,,,ESP32
1557141780950,,,,Device4,EP001-1557141716413,Shams_run2,Edge-Good,1198,,,ESP32
1557141024076,,,,Device4,EP001-1557140935126,Shams_run2,2G-DevelopingRural,2017,,,ESP32
1557137104707,,,,Device4,EP001-1557137055754,Shams_run1,3G-Good,762,,,ESP32
1557140792060,,,,Device4,EP001-1557140681172,Shams_run1,2G-DevelopingRural,1829,,,ESP32
1557139212352,,,,Device4,EP001-1557139080466,Shams_run1,3G-Good,589,,,ESP32
1557139471793,,,,Device4,EP001-1557139431676,Shams_run1,3G-Good,779,,,ESP32
1557136745703,,,,Device4,EP001-1557136686103,Shams_run1,2G-DevelopingRural,403,,,ESP32
1557139163346,,,,Device4,EP001-1557139080466,Shams_run1,3G-Good,589,,,ESP32
1557135645201,,,,Device4,EP001-1557135590926,Shams_run1,2G-DevelopingRural,6,,,ESP32
1557141838081,,,,Device4,EP001-1557141716413,Shams_run2,Edge-Good,1198,,,ESP32
1557137136964,,,,Device4,EP001-1557137055754,Shams_run1,3G-Good,916,,,ESP32
1557140991512,,,,Device4,EP001-1557140935126,Shams_run2,2G-DevelopingRural,1912,,,ESP32
1557141796508,,,,Device4,EP001-1557141716413,Shams_run2,Edge-Good,1156,,,ESP32
1557139570697,,,,Device4,EP001-1557139540198,Shams_run1,2G-DevelopingRural,2648,,,ESP32
1557141209726,,,,Device4,EP001-1557141184603,Shams_run2,3G-Good,799,,,ESP32
1557139466966,,,,Device4,EP001-1557139431676,Shams_run1,3G-Good,379,,,ESP32
1557141234610,,,,Device4,EP001-1557141184603,Shams_run2,3G-Good,799,,,ESP32
1557141307109,,,,Device4,EP001-1557141184603,Shams_run2,3G-Good,568,,,ESP32
1557139196229,,,,Device4,EP001-1557139080466,Shams_run1,3G-Good,799,,,ESP32
1557140767229,,,,Device4,EP001-1557140681172,Shams_run1,2G-DevelopingRural,1598,,,ESP32
1557139135895,,,,Device4,EP001-1557139080466,Shams_run1,3G-Good,673,,,ESP32
1557142080841,,,,Device4,EP001-1557141973418,Shams_run2,2G-DevelopingUrban,2227,,,ESP32
1557141218534,,,,Device4,EP001-1557141184603,Shams_run2,3G-Good,778,,,ESP32
1557139143787,,,,Device4,EP001-1557139080466,Shams_run1,3G-Good,379,,,ESP32
1557139175333,,,,Device4,EP001-1557139080466,Shams_run1,3G-Good,526,,,ESP32
1557141526571,,,,Device4,EP001-1557141442385,Shams_run2,Edge-Lossy,1409,,,ESP32
