"Episode","A","B","AtoB (bit/s)","BtoA (bit/s)"
2,"10.42.0.212:39594","10.42.0.1:3000",302.78216061834667,87.74557776934498
2,"10.42.0.212:39584","10.42.0.1:3000",650158.7301587302,177777.77777777778
3,"10.42.0.212:39602","10.42.0.1:3000",5545.565781773687,1676.8633292546683
3,"10.42.0.212:39594","10.42.0.1:3000",2209.961804081948,885.8366449322891
4,"10.42.0.212:39606","10.42.0.1:3000",912.7255045008909,600.4715436226508
4,"10.42.0.100:55099","10.42.0.1:3000",1855.1406175665477,549.7450952879506
5,"10.42.0.100:55099","10.42.0.1:3000",3123.083947557237,943.1870067184137
6,"10.42.0.100:55107","10.42.0.1:3000",2380.77760232171,691.4486506480018
6,"10.42.0.100:55101","10.42.0.1:3000",2916.044218703317,771.0608726443803
7,"10.42.0.100:55107","10.42.0.1:3000",1860.9151124035493,515.1464494586639
9,"10.42.0.100:55125","10.42.0.1:3000",1797.867299345553,454.3025870248297
12,"10.42.0.100:46108","10.42.0.1:3000",1257.4773512300762,329.1829823641715
12,"10.42.0.100:46109","10.42.0.1:3000",658.6904952458867,133.6080700087316
14,"10.42.0.100:46116","10.42.0.1:3000",557.7809704499832,166.83770267767304
17,"10.42.0.100:46116","10.42.0.1:3000",null,null
22,"10.42.0.100:46134","10.42.0.1:3000",1351.2388849364402,372.63388414062365
23,"10.42.0.100:46135","10.42.0.1:3000",2343.664310658177,665.9724048623486
23,"10.42.0.100:46136","10.42.0.1:3000",2777.310666308038,768.9619606539184
23,"10.42.0.100:46143","10.42.0.1:3000",1113.5466645241559,222.4485055114342
23,"10.42.0.100:46138","10.42.0.1:3000",1199.4395346174606,315.34355764669965
23,"10.42.0.100:46143","10.42.0.1:3000",1459.7799596384368,287.60370679419646
24,"10.42.0.100:46143","10.42.0.1:3000",1097.6995728337972,200.062703295842
25,"10.42.0.100:46145","10.42.0.1:3000",2513.581278729628,685.3322189720017
25,"10.42.0.100:46144","10.42.0.1:3000",1313.3940182054616,241.16325806832958
25,"10.42.0.100:46144","10.42.0.1:3000",1294.962274960081,273.8143123560171
25,"10.42.0.100:46143","10.42.0.1:3000",1338.3356253087493,298.00130842868396
27,"10.42.0.100:46147","10.42.0.1:3000",1234.9470125639048,255.9717277631464
27,"10.42.0.100:46146","10.42.0.1:3000",1397.6820619270022,256.6400905788555
27,"10.42.0.100:46146","10.42.0.1:3000",1427.0531602308959,314.5296295524482
27,"10.42.0.100:46145","10.42.0.1:3000",1379.7814207650272,253.3532041728763
30,"10.42.0.100:46149","10.42.0.1:3000",1177.8838564823263,267.5024065691982
30,"10.42.0.100:46152","10.42.0.1:3000",879.4658298077829,175.38826036354035
30,"10.42.0.100:46153","10.42.0.1:3000",958.871456810983,191.84524660828382
30,"10.42.0.100:46148","10.42.0.1:3000",2761.8226617703954,691.2702022087522
30,"10.42.0.100:46156","10.42.0.1:3000",2082.398923559941,507.4645992182995
30,"10.42.0.100:46150","10.42.0.1:3000",494.93514073979213,144.22473050220057
30,"10.42.0.100:46152","10.42.0.1:3000",3990.719998467171,1122.1584785395974
30,"10.42.0.100:46156","10.42.0.1:3000",3906.4985457208454,1105.8584395257596
30,"10.42.0.100:46153","10.42.0.1:3000",3867.4592416251935,1109.094015292673
30,"10.42.0.100:46158","10.42.0.1:3000",625.7443025529085,127.86887831688382
30,"10.42.0.100:46157","10.42.0.1:3000",9206.10556834655,2742.389357892044
30,"10.42.0.100:46148","10.42.0.1:3000",2619.308049771626,709.8489217694516
30,"10.42.0.100:46147","10.42.0.1:3000",3080.5833370048904,809.5049272297367
31,"10.42.0.100:46159","10.42.0.1:3000",1091.8560910523101,334.3728900749124
31,"10.42.0.100:46160","10.42.0.1:3000",729.6655209855578,159.62249671399064
31,"10.42.0.100:46161","10.42.0.1:3000",585.3682033434989,118.73545535829868
31,"10.42.0.100:46159","10.42.0.1:3000",690.87830647793,128.64108663882595
33,"10.42.0.100:46280","10.42.0.1:3000",1829.7531085279163,465.03733347867046
33,"10.42.0.100:46281","10.42.0.1:3000",724.4950367458234,147.31946921661827
34,"10.42.0.100:46282","10.42.0.1:3000",1377.5371186889802,345.77005654531445
35,"10.42.0.100:55099","10.42.0.1:3000",1855.1406175665477,549.7450952879506
35,"10.42.0.212:39606","10.42.0.1:3000",851.3068409191991,566.9151590999076
