"Episode","A","B","AtoB (bit/s)","BtoA (bit/s)"
1,"10.42.0.100:60723","10.42.0.1:3000",2420.097428341069,654.5779954942437
1,"10.42.0.100:60725","10.42.0.1:3000",2388.9822832451746,657.3259723290968
1,"10.42.0.100:60710","10.42.0.1:3000",2360.1603073093265,650.3229752349887
1,"10.42.0.100:60724","10.42.0.1:3000",2345.9967727021426,646.5994854964376
1,"10.42.0.100:60722","10.42.0.1:3000",2347.100867714432,646.8602692120294
1,"10.42.0.100:60720","10.42.0.1:3000",2321.685852141088,649.8482345565423
1,"10.42.0.100:60736","10.42.0.1:3000",2394.787282329527,655.1942922995248
1,"10.42.0.100:60708","10.42.0.1:3000",2242.633831875886,606.1807528800194
1,"10.42.0.100:60709","10.42.0.1:3000",4152.07895162595,1327.9404627082997
2,"10.42.0.100:60723","10.42.0.1:3000",2420.097428341069,654.5779954942437
2,"10.42.0.100:60725","10.42.0.1:3000",2388.9822832451746,657.3259723290968
2,"10.42.0.100:60724","10.42.0.1:3000",2345.9967727021426,646.5994854964376
2,"10.42.0.100:60722","10.42.0.1:3000",2347.100867714432,646.8602692120294
2,"10.42.0.100:60720","10.42.0.1:3000",2321.685852141088,649.8482345565423
2,"10.42.0.100:60736","10.42.0.1:3000",2394.787282329527,655.1942922995248
2,"10.42.0.100:60710","10.42.0.1:3000",2347.8048434507814,716.8244111180286
3,"10.42.0.100:60723","10.42.0.1:3000",2420.097428341069,654.5779954942437
3,"10.42.0.100:60725","10.42.0.1:3000",2388.9822832451746,657.3259723290968
3,"10.42.0.100:60724","10.42.0.1:3000",2345.9967727021426,646.5994854964376
3,"10.42.0.100:60722","10.42.0.1:3000",2347.100867714432,646.8602692120294
3,"10.42.0.100:60736","10.42.0.1:3000",2394.787282329527,655.1942922995248
3,"10.42.0.100:60720","10.42.0.1:3000",2137.1178127934886,655.9234358462157
4,"10.42.0.100:60723","10.42.0.1:3000",2420.097428341069,654.5779954942437
4,"10.42.0.100:60725","10.42.0.1:3000",2388.9822832451746,657.3259723290968
4,"10.42.0.100:60724","10.42.0.1:3000",2345.9967727021426,646.5994854964376
4,"10.42.0.100:60736","10.42.0.1:3000",2390.361351726287,652.4882955860502
4,"10.42.0.100:60722","10.42.0.1:3000",2618.9455314091424,725.1446151994523
5,"10.42.0.100:60725","10.42.0.1:3000",2388.9822832451746,657.3259723290968
5,"10.42.0.100:60724","10.42.0.1:3000",2345.9967727021426,646.5994854964376
5,"10.42.0.100:60736","10.42.0.1:3000",2387.656921572242,652.6969631934571
5,"10.42.0.100:60723","10.42.0.1:3000",2322.4425328616744,616.1155999947787
6,"10.42.0.100:60725","10.42.0.1:3000",2388.9822832451746,657.3259723290968
6,"10.42.0.100:60736","10.42.0.1:3000",2387.656921572242,652.6969631934571
6,"10.42.0.100:60724","10.42.0.1:3000",2475.071090047393,730.9952606635071
7,"10.42.0.100:60736","10.42.0.1:3000",2383.272301791944,650.0123507616303
7,"10.42.0.100:60725","10.42.0.1:3000",2460.1867105985725,660.4429800475929
